Features collected of individuals 
Mean ; SDNN ; RMSSD ; SDSD ; Median ; Var ; Range ; CVSD ; CVNNI  ; Activity
0.5092584874999997;0.1395719183088455;0.10082722021437027;0.09503401746844545;0.4750079166666623;0.019480320380411042;0.6400106666666732;0.19798829609957228;0.2740689094727078;0
0.4770079499999996;0.05048272972718392;0.029714039895508373;0.027252229914154904;0.46750779166666945;0.0025485060007078993;0.22500375000000172;0.06229254647749245;0.10583205107416754;0
0.46575776250000017;0.033177709012312644;0.007779995716588039;0.005729448398971242;0.46250770833333377;0.0011007603753056916;0.10000166666667099;0.016703952876336733;0.07123382943577378;0
0.46075767916666666;0.032089022660186275;0.007694965887931176;0.005849074001596266;0.4550075833333267;0.0010297053752859485;0.0950015833333282;0.016700678547232048;0.06964403223452069;0
0.45550759166666666;0.03132648241141335;0.007947326595624995;0.005954682663573802;0.44750745833333383;0.00098134850027259;0.10000166666667099;0.01744718801841776;0.06877269003748587;0
0.4505075083333338;0.030127426600780816;0.007947326595624995;0.005954682663574463;0.44500741666666954;0.0009076618335854355;0.10000166666667099;0.01764083050474868;0.0668744161717485;0
0.4455074250000003;0.027952492438964933;0.006488964992844177;0.004937362035177393;0.44500741666666954;0.0007813418335503916;0.08000133333334247;0.01456533523059503;0.06274304505466977;0
0.44150735833333316;0.026955577657852746;0.006488964992844177;0.004937362035177393;0.44000733333333386;0.0007266031668685301;0.08000133333334247;0.014697297497689905;0.06105351847273536;0
0.4372572875000003;0.025571534470610297;0.006589575101024807;0.004838179664153829;0.4325072083333339;0.0006539033751816107;0.08500141666665684;0.015070246487372272;0.05848166560428173;0
0.4327572124999996;0.023646635599072444;0.006282913337851884;0.004663247494934289;0.4275071249999982;0.0005591633751553201;0.08000133333334247;0.014518333043038283;0.05464180588110352;0
0.42850714166666676;0.02230802920037715;0.00596049494671757;0.004466011997679608;0.42250704166666964;0.0004976481668048795;0.07500124999998548;0.013909908067189706;0.05205987726041317;0
0.4250070833333339;0.020901116400518373;0.005960494946718198;0.004880933187263341;0.42000700000000535;0.0004368566667880181;0.07000116666667111;0.014024460251273905;0.04917827777502142;0
0.42150702499999965;0.019675318721031388;0.00596049494671757;0.004880933187263099;0.42000699999999824;0.0003871181667741682;0.06500108333332832;0.014140914844106275;0.046678507246780535;0
0.41825697083333396;0.01830151291814527;0.004866723744633422;0.004093844331208165;0.41500691666666967;0.00033494537509303824;0.055000916666671174;0.011635726560484994;0.043756623784850235;0
0.41575692916666684;0.0178649202373999;0.004729605340076741;0.003740238758261165;0.410006833333334;0.0003191553750886606;0.055000916666671174;0.011375890594431337;0.042969627164622166;0
0.4127568791666668;0.016817799353024316;0.004729605340076741;0.003740238758261165;0.4100068333333269;0.00028283837507858515;0.055000916666671174;0.01145857423291297;0.04074504920906108;0
