Diff Between Pulses ;  ACC
0.8700144999999999;0.8700144999999999;0
0.7450124166666667;1.6150269166666666;1
0.7500124999999997;2.3650394166666664;2
0.7450124166666665;3.110051833333333;3
0.745012416666667;3.85506425;4
0.7450124166666665;4.600076666666666;5
0.7500124999999995;5.350089166666666;6
0.7600126666666673;6.110101833333333;7
0.7700128333333325;6.880114666666666;8
0.8100135000000002;7.690128166666666;9
0.8200136666666662;8.510141833333332;10
0.7950132500000002;9.305155083333332;11
0.7800130000000003;10.085168083333333;12
0.7900131666666663;10.875181249999999;13
0.8050134166666663;11.680194666666665;14
0.7950132500000002;12.475207916666665;15
0.7550125833333343;13.2302205;16
0.7300121666666666;13.960232666666666;17
0.7150119166666666;14.675244583333333;18
0.7050117499999988;15.380256333333332;19
0.6900115000000007;16.070267833333332;20
0.6400106666666652;16.710278499999998;21
0.6250104166666688;17.335288916666666;22
0.6250104166666652;17.96029933333333;23
0.6300105000000009;18.590309833333333;24
0.670011166666665;19.260320999999998;25
0.7800130000000003;20.040333999999998;26
0.8750145833333356;20.915348583333333;27
0.8450140833333322;21.760362666666666;28
0.8350139166666644;22.59537658333333;29
0.8150135833333358;23.410390166666666;30
0.7700128333333325;24.180403;31
0.7100118333333327;24.89041483333333;32
0.6900115000000007;25.58042633333333;33
0.6800113333333329;26.260437666666665;34
0.7000116666666649;26.96044933333333;35
0.7200120000000005;27.68046133333333;36
0.7050117500000006;28.38547308333333;37
0.7000116666666685;29.08548475;38
0.7450124166666647;29.830497166666664;39
0.7550125833333325;30.585509749999996;40
0.7200120000000005;31.305521749999997;41
0.6600110000000008;31.965532749999998;42
0.6450107500000009;32.6105435;43
0.6450107499999973;33.255554249999996;44
0.6600110000000043;33.91556525;45
0.7100118333333327;34.62557708333333;46
0.790013166666661;35.415590249999994;47
0.8150135833333394;36.23060383333333;48
0.8100134999999966;37.04061733333333;49
0.7850130833333324;37.82563041666666;50
0.7400123333333326;38.565642749999995;51
0.7150119166666684;39.28065466666666;52
0.7250120833333327;40.005666749999996;53
0.7400123333333326;40.74567908333333;54
0.7400123333333326;41.48569141666666;55
0.7450124166666683;42.23070383333333;56
0.7450124166666683;42.97571625;57
0.7150119166666684;43.690728166666666;58
0.7250120833333327;44.41574025;59
0.7450124166666612;45.16075266666666;60
0.7800130000000038;45.940765666666664;61
0.7950132499999967;46.73577891666666;62
0.7550125833333325;47.49079149999999;63
0.7450124166666683;48.23580391666666;64
0.7550125833333325;48.990816499999994;65
0.7450124166666683;49.73582891666666;66
0.7100118333333327;50.445840749999995;67
0.6800113333333329;51.12585208333333;68
0.6750112500000043;51.80086333333333;69
0.6900114999999971;52.49087483333333;70
0.720011999999997;53.210886833333326;71
0.7150119166666684;53.925898749999995;72
0.7550125833333325;54.68091133333333;73
0.7850130833333324;55.46592441666666;74
0.820013666666668;56.28593808333333;75
0.7650127500000039;57.05095083333333;76
0.7350122499999969;57.78596308333333;77
0.7000116666666685;58.48597475;78
0.6850114166666685;59.170986166666665;79
0.6850114166666614;59.85599758333333;80
0.7000116666666685;60.556009249999995;81
0.7100118333333327;61.26602108333333;82
0.6950115833333328;61.96103266666666;83
0.6700111666666686;62.63104383333333;84
0.6200103333333331;63.25105416666666;85
0.6000099999999975;63.85106416666666;86
0.565009416666669;64.41607358333333;87
0.565009416666669;64.981083;88
0.565009416666669;65.54609241666667;89
0.5900098333333261;66.13610225;90
0.5900098333333403;66.72611208333333;91
0.5950099166666547;67.32112199999999;92
0.6150102500000116;67.93613225;93
0.6400106666666545;68.57614291666665;94
0.6350105833333402;69.2111535;95
0.6250104166666688;69.83616391666666;96
0.5900098333333261;70.42617374999999;97
0.580009666666669;71.00618341666666;98
0.565009416666669;71.57119283333333;99
0.5450090833333405;72.11620191666667;100
0.5450090833333263;72.661211;101
0.5350089166666692;73.19621991666666;102
0.5350089166666692;73.73122883333333;103
0.5400089999999977;74.27123783333333;104
0.5350089166666692;74.80624675;105
0.5300088333333264;75.33625558333333;106
0.5250087499999978;75.86126433333332;107
0.5300088333333406;76.39127316666666;108
0.5300088333333264;76.92128199999999;109
0.5250087499999978;77.44629074999999;110
0.5150085833333407;77.96129933333333;111
0.5150085833333264;78.47630791666666;112
0.5150085833333407;78.9913165;113
0.5050084166666693;79.49632491666667;114
0.5000083333333265;79.99633324999999;115
0.49500824999999793;80.49134149999999;116
0.5000083333333407;80.99134983333333;117
0.49500824999999793;81.48635808333333;118
0.5000083333333265;81.98636641666666;119
0.4850080833333408;82.4713745;120
0.49000816666666935;82.96138266666667;121
0.48500808333332657;83.44639074999999;122
0.4850080833333408;83.93139883333333;123
0.480007999999998;84.41140683333333;124
0.480007999999998;84.89141483333333;125
0.48500808333332657;85.37642291666666;126
0.480007999999998;85.85643091666665;127
0.4750079166666694;86.33143883333332;128
0.47000783333334084;86.80144666666666;129
0.4750079166666694;87.27645458333333;130
0.46500774999999805;87.74146233333333;131
0.46500774999999805;88.20647008333333;132
0.47000783333332663;88.67647791666666;133
0.46500774999999805;89.14148566666665;134
0.46500775000001227;89.60649341666667;135
0.46000766666665527;90.06650108333332;136
0.4550075833333409;90.52150866666666;137
0.4500074999999981;90.97151616666666;138
0.4500074999999981;91.42152366666666;139
0.4550075833333409;91.87653125;140
0.4500074999999981;92.32653875;141
0.44500741666665533;92.77154616666665;142
0.44500741666666954;93.21655358333332;143
0.44500741666666954;93.66156099999999;144
0.44500741666666954;94.10656841666666;145
0.44000733333332676;94.54657574999999;146
0.44000733333334097;94.98658308333333;147
0.44000733333332676;95.42659041666666;148
